2016-11-07 15:43:00,943 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: WebApp:WebApp:0.0.1-SNAPSHOT @ D:\School\taip\WebApp\WebApp\pom.xml.
2016-11-07 15:43:01,557 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /WebApp/src/main/java
2016-11-07 15:43:01,560 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /WebApp/src/main/resources
2016-11-07 15:43:01,561 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /WebApp/src/test/java
2016-11-07 15:43:01,562 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /WebApp/src/test/resources
2016-11-07 15:43:02,764 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 15:43:02,771 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-07 15:43:02,774 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 15:43:02,776 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-07 15:44:23,896 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 15:44:23,903 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-07 15:44:23,905 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 15:44:23,907 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-07 15:44:34,738 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 15:44:34,742 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-07 15:44:34,745 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 15:44:34,749 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-07 15:45:29,391 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 15:45:29,394 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-07 15:45:29,395 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 15:45:29,398 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-07 15:45:53,165 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 15:45:53,167 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
